sample	unit	platform	fq1	fq2	Batch
ES-U7	E-2002-8094-C_S10	Illumina	/vol/tiny/patho-urachus/raw/E-2002-8094-C_S10_L001_R1_001.fastq.gz	/vol/tiny/patho-urachus/raw/E-2002-8094-C_S10_L001_R2_001.fastq.gz	Batch1_Lauf67
ES-U3	E-2004-9818-4O_S7	Illumina	/vol/tiny/patho-urachus/raw/E-2004-9818-4O_S7_L001_R1_001.fastq.gz	/vol/tiny/patho-urachus/raw/E-2004-9818-4O_S7_L001_R2_001.fastq.gz	Batch1_Lauf67
ES-U4	E-2005-10293-3D_S1	Illumina	/vol/tiny/patho-urachus/raw/E-2005-10293-3D_S1_L001_R1_001.fastq.gz	/vol/tiny/patho-urachus/raw/E-2005-10293-3D_S1_L001_R2_001.fastq.gz	Batch1_Lauf65
ES-U5	E-2006-10102-15G_S8	Illumina	/vol/tiny/patho-urachus/raw/E-2006-10102-15G_S8_L001_R1_001.fastq.gz	/vol/tiny/patho-urachus/raw/E-2006-10102-15G_S8_L001_R2_001.fastq.gz	Batch1_Lauf67
ES-U10	E-2006-17517-1D_S3	Illumina	/vol/tiny/patho-urachus/raw/E-2006-17517-1D_S3_L001_R1_001.fastq.gz	/vol/tiny/patho-urachus/raw/E-2006-17517-1D_S3_L001_R2_001.fastq.gz	Batch1_Lauf65
ES-U6	E-2009-31069-1F_S9	Illumina	/vol/tiny/patho-urachus/raw/E-2009-31069-1F_S9_L001_R1_001.fastq.gz	/vol/tiny/patho-urachus/raw/E-2009-31069-1F_S9_L001_R2_001.fastq.gz	Batch1_Lauf67
ES-U1	E-2010-11094-1_S11	Illumina	/vol/tiny/patho-urachus/raw/E-2010-11094-1_S11_L001_R1_001.fastq.gz	/vol/tiny/patho-urachus/raw/E-2010-11094-1_S11_L001_R2_001.fastq.gz	Batch1_Lauf67
ES-U2	E-2010-81258-1C_S12	Illumina	/vol/tiny/patho-urachus/raw/E-2010-81258-1C_S12_L001_R1_001.fastq.gz	/vol/tiny/patho-urachus/raw/E-2010-81258-1C_S12_L001_R2_001.fastq.gz	Batch1_Lauf65
ES-U9	E-2011-22743-3E_S6	Illumina	/vol/tiny/patho-urachus/raw/E-2011-22743-3E_S6_L001_R1_001.fastq.gz	/vol/tiny/patho-urachus/raw/E-2011-22743-3E_S6_L001_R2_001.fastq.gz	Batch1_Lauf67
ES-U8	E-2012-28527-M_S5	Illumina	/vol/tiny/patho-urachus/raw/E-2012-28527-M_S5_L001_R1_001.fastq.gz	/vol/tiny/patho-urachus/raw/E-2012-28527-M_S5_L001_R2_001.fastq.gz	Batch1_Lauf65
